##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): March 3, 2016, 1:58 a.m.
## Download Date (Y/M/D): 2016/03/22
##
## Query String: {&quot;sort&quot;:&quot;kic&quot;,&quot;campaign&quot;:[&quot;0&quot;,&quot;1&quot;,&quot;2&quot;,&quot;3&quot;,&quot;4&quot;,&quot;5&quot;,&quot;6&quot;,&quot;7&quot;,&quot;8&quot;,&quot;9&quot;],&quot;kics&quot;:[],&quot;etvlong&quot;:true,&quot;cols&quot;:[&quot;camp&quot;,&quot;bjd0&quot;,&quot;kic&quot;,&quot;p&quot;,&quot;sep&quot;,&quot;pwidth&quot;,&quot;swidth&quot;],&quot;etvshort&quot;:true,&quot;incat1&quot;:true,&quot;kois&quot;:[]}
##
#KIC,camp,period,bjd0,pwidth,swidth,sep,
204561424,K2C2,2.3617655,56895.295377,0.1162,0.1273,0.4997,
204561871,K2C2,2.3617460,56895.291951,0.1145,0.1103,0.5022,
204649811,K2C2,5.2907529,56900.150916,0.0193,0.0196,0.5027,
204676841,K2C2,1.5272791,56895.953942,0.0772,-1.0000,1.0000,
204748201,K2C2,7.3659133,56896.149790,0.0238,0.0195,0.5034,
204753706,K2C2,1.0189686,56894.329228,0.0837,0.0778,0.4989,
204763194,K2C2,2.3209851,56895.705821,0.1843,0.2141,0.5036,
204873331,K2C2,1.3178627,56895.468621,0.0457,-1.0000,1.0000,
204882444,K2C2,0.3829073,56893.455574,0.1716,-1.0000,1.0000,
205129673,K2C2,0.9552618,56893.634312,0.1416,0.1250,0.4993,
205131464,K2C2,1.5546469,56894.296047,0.1202,0.1036,0.5063,
205145448,K2C2,16.6226813,56902.258905,0.0065,-1.0000,1.0000,
205146590,K2C2,1.3423555,56893.621988,0.1303,-1.0000,1.0000,
205148699,K2C2,4.3771848,56896.537626,0.0456,-1.0000,1.0000,
205167843,K2C2,1.6331402,56894.444189,0.1220,0.1230,0.5045,
205189451,K2C2,0.5915426,56893.623658,0.1559,0.0817,0.5001,
205195789,K2C2,3.2499849,56896.092237,0.0683,0.0625,0.4997,
205200600,K2C2,0.4517835,56893.648387,0.0866,-1.0000,1.0000,
205405404,K2C2,0.6433316,56893.614808,0.2029,0.2736,0.5050,
205463986,K2C2,4.6481535,56898.278218,0.0304,0.0308,0.5014,
205483258,K2C2,5.6677400,56896.133467,0.0425,0.2497,0.5137,
205485891,K2C2,15.5859700,56904.374831,0.0178,0.0143,0.6482,
205510143,K2C2,9.5952228,56901.531438,0.0511,-1.0000,1.0000,
205554809,K2C2,4.0949573,56896.498739,0.0345,0.0370,0.5000,
205557744,K2C2,1.3609681,56894.073692,0.1122,0.1148,0.4979,
205684800,K2C2,3.1140241,56900.547673,0.0356,0.0342,0.4998,
205703094,K2C2,4.0582741,56895.839409,0.0639,-1.0000,1.0000,
